CircFlow,FRate,FDensity,SMSpeed,BDepth,BSize,MVis,FPress,DPPress,CPress,FIn,FOut,MRFlow,ActiveGL,ATVolume,RoPen,WoBit,HLoad,WBoPress,BTBR,MPS1,MPS2,MPS3,AMTD,ATMPV,ATMYP,STP,WellDepth
0.9641726,-0.9891874,78.54707,-0.005656181,12641.48,12.25,10.00045,6157.129,1721.43,0,0.9531641,0.9891874,-0.03602324,-0.06358483,199.0192,20.36225,39634.55,310916.9,6957.586,12641.48,99.04626,99.04626,59.66036,78.54546,10.00008,20.00007,13798.08,12641.48
0.9641518,-0.9888926,78.54707,-0.005655644,12641.48,12.25,10.00045,6157.129,1721.333,0,0.9531637,0.9888926,-0.03572882,-0.06338979,199.0194,20.36032,39638.76,310913.1,6957.566,12641.48,99.04626,99.04626,59.66036,78.54546,10.00008,20.00007,13798.08,12641.48
0.9641079,-0.9883238,78.54707,-0.005654633,12641.48,12.25,10.00045,6157.129,1721.14,0,0.953163,0.9883238,-0.03516087,-0.06300423,199.0198,20.35668,39647.17,310905.4,6957.527,12641.48,99.04626,99.04626,59.66036,78.54546,10.00008,20.00007,13798.08,12641.48
0.9640847,-0.9880471,78.54707,-0.005654153,12641.48,12.25,10.00045,6157.129,1721.043,0,0.9531626,0.9880471,-0.03488452,-0.06281369,199.02,20.35495,39651.38,310901.6,6957.508,12641.48,99.04626,99.04626,59.66036,78.54546,10.00008,20.00007,13798.08,12641.48
0.9640365,-0.9875053,78.54707,-0.00565323,12641.48,12.25,10.00045,6157.129,1720.851,0,0.9531617,0.9875053,-0.03434363,-0.06243705,199.0203,20.35163,39659.78,310894,6957.47,12641.48,99.04626,99.04626,59.66036,78.54546,10.00008,20.00007,13798.08,12641.48
0.9639859,-0.986977,78.54707,-0.005652339,12641.48,12.25,10.00045,6157.129,1720.659,0,0.9531607,0.986977,-0.03381628,-0.06206622,199.0207,20.34842,39668.18,310886.3,6957.434,12641.48,99.04626,99.04626,59.66036,78.54546,10.00008,20.00007,13798.08,12641.48
0.9639336,-0.9864606,78.54707,-0.005651466,12641.48,12.25,10.00045,6157.129,1720.468,0,0.9531597,0.9864606,-0.03330096,-0.06170107,199.0211,20.34528,39676.57,310878.6,6957.397,12641.48,99.04626,99.04626,59.66036,78.54546,10.00008,20.00007,13798.08,12641.48
0.9638798,-0.9859554,78.54707,-0.005650599,12641.48,12.25,10.00045,6157.129,1720.278,0,0.9531587,0.9859554,-0.03279677,-0.06134147,199.0214,20.34216,39684.96,310871,6957.362,12641.48,99.04626,99.04626,59.66036,78.54546,10.00008,20.00007,13798.08,12641.48
0.963825,-0.9854606,78.54707,-0.005649733,12641.48,12.25,10.00045,6157.129,1720.089,0,0.9531576,0.9854606,-0.03230302,-0.0609873,199.0218,20.33904,39693.34,310863.3,6957.328,12641.48,99.04626,99.04626,59.66036,78.54546,10.00008,20.00007,13798.08,12641.48
0.9637972,-0.9852169,78.54707,-0.005649299,12641.48,12.25,10.00045,6157.129,1719.994,0,0.9531571,0.9852169,-0.0320599,-0.06081222,199.022,20.33748,39697.54,310859.4,6957.311,12641.48,99.04626,99.04626,59.66036,78.54546,10.00008,20.00008,13798.08,12641.48
0.9637412,-0.9847368,78.54707,-0.005648429,12641.48,12.25,10.00045,6157.129,1719.806,0,0.9531559,0.9847368,-0.03158086,-0.06046599,199.0223,20.33434,39705.92,310851.7,6957.277,12641.48,99.04626,99.04626,59.66036,78.54546,10.00008,20.00008,13798.08,12641.48
0.963713,-0.9845002,78.54707,-0.005647993,12641.48,12.25,10.00045,6157.129,1719.713,0,0.9531554,0.9845002,-0.03134485,-0.06029482,199.0225,20.33278,39710.11,310847.8,6957.261,12641.48,99.04626,99.04626,59.66036,78.54546,10.00008,20.00008,13798.08,12641.48
